72,0.91
63,1.48
71,1.41
59,1.0
70,1.2
69,1.16
68,1.32
67,1.43
66,0.88
65,0.82
64,1.47
62,1.15
61,1.41
60,0.8
58,1.16
57,1.38
56,0.98
55,1.56
54,1.52
53,0.82
52,0.82
73,1.23
74,1.55
75,1.1
51,0.97
50,1.14
49,0.82
48,0.98
47,1.15
46,1.2
45,0.99
44,0.98
43,0.98
42,1.17
41,1.03
40,0.82
39,1.47
38,1.25
37,1.31
27,0.95
28,1.59
26,1.49
24,0.9
23,1.07
22,1.38
21,1.37
76,1.55
77,1.14
78,1.46
79,1.34
80,1.04
81,1.27
82,1.51
36,1.48
35,1.2
34,1.27
32,0.83
33,0.99
31,1.44
30,1.13
29,0.94
25,1.24
20,1.36
19,1.34
18,1.1
17,1.15
14,1.21
15,1.42
16,1.22
13,1.11
12,1.19
83,0.82
84,0.83
85,1.36
86,1.59
87,1.27
88,1.11
89,0.94
90,1.2
96,1.59
97,1.42
98,1.23
99,1.49
95,0.99
91,1.21
11,1.56
10,1.26
0,1.17
1,1.02
2,1.24
3,1.57
4,0.8
5,1.43
6,1.46
7,1.51
8,1.39
9,1.45
